Tangle Tower$$%%359510$$%%5,882$$%%144.8 k$$%%106.1 k$$%%161.6 k
Bleak Sword DX$$%%2193050$$%%7,210$$%%29.2 k$$%%15.2 k$$%%12.5 k
Neo Cab$$%%794540$$%%10,387$$%%717.7 k$$%%57.5 k$$%%81.5 k
Heave Ho$$%%905340$$%%9,267$$%%1.42 M$$%%122.6 k$$%%41.0 k
Gato Roboto$$%%916730$$%%10,040$$%%883.9 k$$%%156.1 k$$%%89.6 k
Mutazione$$%%1080750$$%%6,432$$%%218.3 k$$%%21.3 k$$%%38.5 k
Sayonara Wild Hearts$$%%1122720$$%%13,289$$%%378.2 k$$%%139.3 k$$%%235.6 k
Wilmot’s Warehouse$$%%839870$$%%1,820$$%%51.7 k$$%%26.9 k$$%%12.1 k
Telling Lies$$%%762830$$%%16,561$$%%203.4 k$$%%59.8 k$$%%42.4 k
Wargroove$$%%607050$$%%36,625$$%%2.61 M$$%%367.6 k$$%%144.1 k
Valfaris$$%%600130$$%%12,830$$%%1.66 M$$%%63.2 k$$%%80.7 k
Bug Fables: The Everlasting Sapling$$%%1082710$$%%9,294$$%%336.7 k$$%%146.4 k$$%%147.4 k
The Textorcist: The Story of Ray Bibbia$$%%940680$$%%3,958$$%%1.29 M$$%%40.8 k$$%%16.5 k
Nowhere Prophet$$%%681730$$%%7,131$$%%1.06 M$$%%30.8 k$$%%38.8 k
My Time At Portia$$%%666140$$%%183,992$$%%3.33 M$$%%1.41 M$$%%898.7 k
Yooka-Laylee and the Impossible Lair$$%%846870$$%%4,253$$%%1.80 M$$%%72.9 k$$%%42.0 k
SteamWorld Quest: Hand of Gilgamech$$%%804010$$%%9,825$$%%390.0 k$$%%71.6 k$$%%48.0 k
SuperEpic: The Entertainment War$$%%1163560$$%%805$$%%157.1 k$$%%3.5 k$$%%2.9 k
Blazing Chrome$$%%609110$$%%8,816$$%%545.6 k$$%%41.1 k$$%%59.8 k
JUMPGRID$$%%942060$$%%210$$%%$$%%1.7 k$$%%2.3 k
Touhou Luna Nights$$%%851100$$%%49,734$$%%561.1 k$$%%355.0 k$$%%409.7 k
Minoria$$%%940910$$%%15,701$$%%1.38 M$$%%63.3 k$$%%85.4 k
They Are Billions$$%%644930$$%%273,058$$%%1.35 M$$%%1.75 M$$%%931.3 k
Bloodstained: Ritual of the Night$$%%692850$$%%104,677$$%%2.54 M$$%%765.9 k$$%%1.23 M
CARRION$$%%953490$$%%78,013$$%%849.3 k$$%%603.0 k$$%%709.5 k
A Monster's Expedition$$%%1052990$$%%5,144$$%%98.3 k$$%%46.3 k$$%%35.5 k
One Step From Eden$$%%960690$$%%32,889$$%%1.96 M$$%%371.3 k$$%%215.8 k
Moving Out$$%%996770$$%%21,035$$%%1.72 M$$%%213.0 k$$%%60.6 k
Pumpkin Jack$$%%1186640$$%%16,084$$%%1.13 M$$%%153.9 k$$%%187.7 k
Yes, Your Grace$$%%1115690$$%%37,247$$%%1.20 M$$%%321.6 k$$%%287.7 k
Vigil: The Longest Night$$%%720560$$%%23,116$$%%135.4 k$$%%83.1 k$$%%93.9 k
Spelunky 2$$%%418530$$%%25,876$$%%783.2 k$$%%503.8 k$$%%567.9 k
Poly Bridge 2$$%%1062160$$%%25,593$$%%656.0 k$$%%695.3 k$$%%219.2 k
HUNTDOWN$$%%598550$$%%14,836$$%%327.5 k$$%%127.5 k$$%%98.6 k
UnderMine$$%%656350$$%%42,576$$%%567.3 k$$%%381.8 k$$%%260.5 k
Mortal Shell$$%%1110910$$%%50,717$$%%695.2 k$$%%306.5 k$$%%223.7 k
Noita$$%%881100$$%%165,059$$%%2.58 M$$%%2.62 M$$%%1.99 M
Going Under$$%%1154810$$%%11,918$$%%2.07 M$$%%125.4 k$$%%102.5 k
Besiege$$%%346010$$%%281,839$$%%5.11 M$$%%3.32 M$$%%1.42 M
Fae Tactics$$%%995980$$%%12,262$$%%1.46 M$$%%41.4 k$$%%42.9 k
ScourgeBringer$$%%1037020$$%%21,515$$%%964.2 k$$%%122.0 k$$%%79.7 k
Star Renegades$$%%651670$$%%28,143$$%%325.1 k$$%%132.5 k$$%%78.2 k
Factorio$$%%427520$$%%367,818$$%%3.10 M$$%%4.03 M$$%%5.57 M
Monster Sanctuary$$%%814370$$%%46,019$$%%1.20 M$$%%485.6 k$$%%303.5 k
Littlewood$$%%894940$$%%35,720$$%%340.7 k$$%%203.7 k$$%%193.2 k
Monster Train$$%%1102190$$%%33,930$$%%1.79 M$$%%878.5 k$$%%600.1 k
Creaks$$%%956030$$%%17,654$$%%398.1 k$$%%93.9 k$$%%122.6 k
South of the Circle$$%%1811040$$%%6,360$$%%139.3 k$$%%48.7 k$$%%34.4 k
Tenderfoot Tactics$$%%1061610$$%%2,886$$%%173.1 k$$%%5.7 k$$%%7.1 k
In Other Waters$$%%890720$$%%12,619$$%%1.34 M$$%%99.5 k$$%%58.1 k
Signs of the Sojourner$$%%1058690$$%%1,354$$%%135.5 k$$%%4.9 k$$%%6.0 k
Paradise Killer$$%%1160220$$%%12,012$$%%1.49 M$$%%113.7 k$$%%107.3 k
